sample_index,split
1,train
2,train
3,train
5,train
6,train
7,train
8,train
9,train
10,train
12,train
14,train
15,train
18,train
19,train
20,train
21,train
22,train
24,train
25,train
28,train
29,train
33,train
37,train
38,train
39,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
50,train
52,train
53,train
54,train
55,train
57,train
59,train
61,train
63,train
64,train
65,train
66,train
68,train
69,train
70,train
74,train
75,train
76,train
77,train
80,train
81,train
83,train
84,train
86,train
88,train
89,train
90,train
91,train
92,train
95,train
96,train
98,train
99,train
100,train
102,train
103,train
104,train
105,train
106,train
108,train
109,train
111,train
113,train
114,train
115,train
116,train
122,train
123,train
124,train
125,train
127,train
128,train
130,train
133,train
135,train
136,train
137,train
138,train
139,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
152,train
154,train
157,train
158,train
159,train
162,train
163,train
164,train
166,train
169,train
170,train
171,train
173,train
174,train
177,train
179,train
181,train
182,train
184,train
185,train
186,train
188,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,train
202,train
203,train
204,train
205,train
206,train
207,train
209,train
210,train
211,train
212,train
214,train
215,train
216,train
218,train
220,train
222,train
223,train
225,train
228,train
230,train
231,train
232,train
233,train
235,train
238,train
240,train
241,train
242,train
243,train
244,train
246,train
248,train
249,train
250,train
251,train
254,train
255,train
256,train
260,train
261,train
264,train
266,train
267,train
268,train
270,train
271,train
272,train
273,train
276,train
278,train
279,train
282,train
284,train
285,train
286,train
287,train
289,train
290,train
291,train
292,train
293,train
294,train
298,train
299,train
300,train
301,train
302,train
303,train
306,train
307,train
308,train
311,train
312,train
313,train
314,train
315,train
316,train
317,train
319,train
320,train
321,train
322,train
323,train
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
334,train
336,train
337,train
338,train
339,train
340,train
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
351,train
353,train
354,train
355,train
356,train
357,train
359,train
360,train
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
372,train
374,train
375,train
376,train
377,train
379,train
380,train
381,train
383,train
384,train
385,train
386,train
387,train
388,train
390,train
392,train
393,train
394,train
395,train
